word,entropy,std,std.log,residual
valve,4.719967594106001,60.482366388815585,4.1023518579050435,10.502857084186196
swear,5.4242308879148355,43.277012105844804,3.767621595783683,9.7424053189619
swift,4.779920934878326,68.72603975164655,4.2301281630986916,0.5772763174122844
queer,4.61797288561331,99.61320352349983,4.601294721301509,25.70145335243538
skull,4.662611245283828,85.5218555562131,4.448771963817855,12.901017812776132
aloud,5.17522724905886,50.11667227603204,3.9143537326925686,8.80733015115407
piano,5.1321290080339,54.38556441785402,3.996098758681793,5.6101177449069795
lemon,5.06505532770681,49.36050586155603,3.8991506279553962,12.332200676398422
patch,5.077950046265692,56.2638850747538,4.030052856396526,5.099815553460445
ruler,5.393978576042124,67.44520453652181,4.21131548355878,13.734543450799194
oxide,4.425709627685811,76.08092895379623,4.33179762838599,3.5707573271173345
stake,5.593060612181262,45.63971849939043,3.8207783571262652,3.654746301833079
imply,4.509865566516501,66.8186766002608,4.201982631288912,10.284655075454566
stiff,4.437395442376613,74.18731960034289,4.306593240695057,5.1071613618014595
ranch,5.315725246627428,51.03785442409082,3.932567601007393,4.494358746490242
clerk,5.177937818205805,52.81922684280097,3.966875269177626,6.037864819328817
shelf,4.987782468715848,59.17622009357477,4.080519773583347,4.51559201170501
snake,5.485507978123777,46.92300732337182,3.8485081164323165,4.718413706398138
feast,5.642481668602941,45.05483270569878,3.8078802525672177,3.191817566520818
sandy,5.302421013976815,51.10392236944929,3.9338612529614987,4.742790505716101
adapt,4.838032154094186,80.67817140168846,4.390468048001303,12.977999975221493
beard,5.499939650295122,45.010836715303014,3.806903276674449,6.310358794285719
witch,4.581705025681684,62.42097836812496,4.133901410672457,12.551198492191588
sheer,5.720107904195298,65.26008834523924,4.178380644906815,18.620319779834176
owing,4.378857761281,71.97309603058565,4.276292382943563,9.121558314597053
widow,3.643587780595593,87.4714311455698,4.471312238856961,18.538649990035253
urine,5.752850364307474,44.24139205413072,3.7896608226804,1.7348656640254276
robin,5.075535589954566,53.36991860472098,3.977247265231724,8.05528645268943
bacon,5.032662869689025,56.135233134752106,4.027763657010734,6.389750964444055
suite,5.90726154655972,43.05134027423866,3.7623933633563356,0.09007115048816416
sally,5.65882542800521,59.737749305052446,4.08996413723815,11.833372726011206
shear,5.734733558977475,39.12593535581744,3.6667855554325066,7.216405043561927
salad,5.306890991449489,70.72929460503174,4.258859837932024,14.98840373619116
quote,4.678797361579193,66.5575794084413,4.198067428790978,5.599052891602568
fuzzy,3.123197384813232,134.87976389329177,4.904383743757439,8.656132307988571
buyer,5.028505157319758,59.13972473439185,4.079902859939232,3.492685707790372
ralph,5.055234446804636,53.891854710413845,3.986979347950196,8.052310124176579
purse,5.594688130710458,45.1759768159414,3.810565459176261,4.0836746195613784
fairy,5.248078292983366,51.76794493510102,3.9467711340683582,5.377891577616133
steal,5.848705458116062,35.93527206825268,3.581719322013289,8.147188509739614
robot,5.162497541586333,67.54379201362049,4.212776158089991,8.304779120944957
penny,4.973904671122521,72.03940518910466,4.277213263598275,7.983570565425538
steep,5.365210330834478,77.58124914080274,4.351325763207315,23.206551401489364
charm,5.199908833099926,54.433983609481984,3.996988657522599,3.882891337129834
loyal,5.1294378438332435,63.64333638275084,4.153294627971433,3.580249340047679
stack,5.182044639333634,52.09808810612656,3.953128251466532,6.657736649081478
query,4.4554162147345036,75.28348394405847,4.321260774015737,3.462261665426496
audio,4.817659973964575,56.304869266845344,4.030781019271599,11.95428507500145
borne,5.569152469526214,47.616223059448934,3.863173523747893,2.1920579531367324
lease,6.023811671185618,56.59270950040376,4.035880169499388,15.782494472572878
rocky,4.716765680081019,68.64210259784618,4.228906086963553,2.4337444025996007
exile,4.763482841071499,91.26366715617432,4.513752758301103,21.50202709211429
cliff,4.399506512603798,78.37902463146594,4.3615563485943625,2.077542825057037
pearl,5.783239947329359,40.52931678214028,3.702025583408085,4.8386839233640515
skirt,5.267447321046761,52.34266903338934,3.9578118899437866,4.337454969506297
drain,5.571158071034046,44.25495272873629,3.7899672912638196,5.510051958666828
merit,5.523340810989603,45.07145000481271,3.808249008468437,5.7339903082419355
shaft,5.284525686503634,55.003900819174845,4.007404106702481,1.2680450778206591
donor,5.311194396560992,66.12192707162781,4.191500417592056,10.48276573730341
rival,5.013098059474959,50.8857108718573,3.9295821547115346,12.145975812371063
shout,5.401767687704354,52.70299762419265,3.9646723348441304,0.8289971173848301
maker,5.1348526288104654,55.389106619930295,4.014382943009547,4.53841595141531
burnt,5.194354133577319,54.75477472423789,4.002864574469197,3.6983175251993003
punch,4.7074761377855445,65.8514387098052,4.187401276239233,5.487787584414633
utter,5.2692947985899155,59.267175576397314,4.082055621153185,2.6313179291692634
weary,5.361061063212104,48.54219195515345,3.8824333569870237,5.928819525398119
arena,5.416120067412693,57.248365072753785,4.047399084345414,4.044330156587392
spray,5.3709613526569235,48.736411274667304,3.8864264155040344,5.5050172103391475
fatty,5.040642960635103,75.62071189183585,4.325730212486656,13.301533798531793
decay,5.156196261322117,48.990174605365056,3.891619759746297,10.405243730642539
tooth,5.368296837058869,91.85984203400524,4.520263959257646,37.556700812503024
sadly,5.4616745123996235,50.31712153735106,3.9183454076032214,1.8567424136290285
lodge,5.176273072005105,52.04319429110939,3.9520740332192137,6.854984982518403
towel,5.213380975300692,48.95865159018352,3.8909760967746356,9.028859373348737
psalm,4.797540322800449,63.08644454679624,4.144505921537073,5.7279797938586725
bless,4.873235111477465,69.64960093743245,4.243476970667871,2.907624030671556
wagon,4.7353626667028,66.92716605053253,4.203604954224956,3.62346209307573
viral,5.032563103345811,50.20985168437376,3.9162112561361324,12.317708564291891
flung,4.606272404250094,68.48096544969945,4.226555830006587,5.771757342128154
cargo,5.209616369586007,51.492467585279066,3.9414355364925653,6.586935366070314
blast,5.5543891593865595,46.753879032561024,3.844897226251072,3.373937989121437
straw,5.10331687981481,51.03269140176299,3.9324664352442342,9.687611570966496
chill,5.018718797262148,73.87064823750465,4.3023155668846345,10.984840596655872
drift,5.136113494158511,57.887516827842,4.058501762505891,2.00847196660542
risen,5.619703750987885,39.66809614832258,3.68054724114676,9.059090842164402
prone,5.774284314204369,40.68913054195926,3.705960993929792,4.8573621854328906
cease,5.868722506168009,62.77087082173181,4.139491125448626,19.074728223120466
shalt,5.845685490402417,44.13378127294988,3.787225504472487,0.007237660008932778
blown,4.651470397768985,66.16347820173048,4.192128621911093,6.77807238942178
fetal,5.418311950708316,43.85167398449275,3.7808128933345246,9.30241833984067
twist,5.0779130045922765,74.28778983161942,4.307946602170874,12.923145973415615
comic,4.686894983559959,74.0055583544938,4.304140203281902,2.0803833875492757
carol,5.627481869709812,42.953776924051986,3.7601245822601763,5.608857594509381
thigh,4.67676817297951,75.70966749285608,4.326905860253188,3.4949530203845427
crude,5.49328317300948,49.329517983226175,3.8985226439274063,2.139174315305887
eagle,5.432336852732161,70.22385987588385,4.251688137556041,17.388430483481528
focal,5.025902060236735,53.70385872862439,3.9834848560770615,8.995879617612424
onion,4.8598377680999,89.42975085921321,4.493453410479371,22.324262942892943
slice,5.927202740557866,41.042645095534596,3.7146116504311757,1.5429832826226857
vocal,4.8266963292047205,58.32417433015888,4.06601666144482,9.686631221206312
blend,5.090761711150828,52.871927599451084,3.9678725288119994,8.16618635363676
wrath,5.177360630527876,51.96846929041921,3.950637174871346,6.902865466371324
bobby,4.037739446980963,95.93270569214562,4.563646963291333,3.809660686122413
ankle,5.116534668766295,52.368014957937405,3.958296003390036,8.019048847768985
tiger,5.540541258990636,44.8470346298397,3.803257468812585,5.582069434371476
lobby,4.464848724996786,78.33342508662773,4.360974396794015,0.12612136939563356
tenth,5.276962607018297,65.28194606698952,4.178715521286717,8.82952437509266
dwell,4.688240371696841,76.6994249870019,4.3398942114350945,4.812655594799978
probe,5.373346193720198,54.90443584801811,4.005594143940301,0.7181950313382544
stole,5.851638102958361,38.60150703313654,3.653291318017891,5.424157328935095
polar,5.453363441382628,43.84687946214985,3.780703552366875,8.513709612210754
brass,5.165035170658478,63.171309641021885,4.1458502367049155,3.9951952434300964
dread,5.477367798728618,49.34084579789697,3.8987522531897314,2.4819236633617336
ninth,4.66556629028669,70.44108098007285,4.254776629621454,2.0948539829870754
delta,5.377460649043869,43.63142458065631,3.775777638004176,10.459709085082856
quasi,4.208497948624486,71.43953457709335,4.2688514216687095,15.048030446426765
stark,5.477254170458788,44.116085126807604,3.78682445805505,7.7092194685967
booth,5.137828465055172,75.99639446311531,4.33068589788616,16.143276310774013
spark,5.254142350651418,52.12994342705427,3.9537395135512323,4.869769248356093
shone,5.732907444374757,43.785922276321294,3.779312356502979,2.5934618247520334
album,4.523905554982551,67.57207942789593,4.213194871515541,9.111545142444996
vivid,4.059721979780331,111.14130663192016,4.710802424413224,19.756653876906412
gauge,5.126278753975017,59.577495167073565,4.087277904895385,0.5647897252467402
baron,5.410310499967044,45.885615059858225,3.8261516705585654,7.450975766051698
theft,4.870704660875922,77.398582187109,4.348968462431897,10.588054949866248
amber,5.11205371783246,50.73709785919523,3.9266573562246676,9.762782512122087
cloak,5.158723793201078,52.64905555301622,3.9636483002047758,6.6835887122150766
pizza,3.3985444459662815,97.23368747255012,4.577117230357488,18.02826591545937
prose,5.8122884876084475,41.76476366893238,3.7320530096005124,3.028637458719821
rebel,5.384838003765718,71.48066307913912,4.269426966677121,17.559725004445525
idiot,4.656996525215883,73.67370178492375,4.299645907632727,0.8913549422614864
holly,5.080262359990613,73.12902168239584,4.292225301405818,11.824180416306305
trait,5.981260622266748,51.03884998166293,3.9325871070754608,9.455741213357008
setup,5.161675248435678,55.38626540751996,4.014331646185011,3.873140016032224
crept,5.517156824758305,44.184718795076655,3.78837900068756,6.756594573590753
stool,5.424346438257119,59.976742129678904,4.093956855901699,6.959951094930908
blond,5.044319532477945,55.01492301351501,4.007604475948272,7.209605724970039
screw,4.991653031684202,53.73343641529873,3.984035459801438,9.857119814549272
merry,5.246149042403806,70.49140504761367,4.255490788167835,13.299019066019255
candy,5.094862095478731,54.032079725044255,3.9895779391574524,6.902103689709222
irony,5.340966895949404,49.0457836386938,3.8927542218414066,5.893581333946848
bloom,4.849712920046002,83.36070888073932,4.42317708181654,15.979562611935265
orbit,5.206362784976069,50.408985845192525,3.9201694497646633,7.7499254880492785
macro,5.078514132587525,48.582980996381664,3.883273284317635,12.766357063894802
shine,5.804504633015203,43.090523385574826,3.763303097888973,1.856194171611591
daisy,5.311307323732298,53.85092962820813,3.986219666744162,1.785564154329272
radar,5.351081003139352,98.31672339681877,4.588194138795409,43.613495828232786
dough,4.593617919077756,70.50938656483972,4.255745843719196,4.113326874172273
dairy,5.429611711488565,47.97753757770824,3.870732934246022,4.9196887946960075
grove,5.194026288025669,53.166923240164486,3.97343645937896,5.294216344084113
agony,4.98627891095444,60.66290233032093,4.105332346983332,3.068275501308804
spoon,5.217243071765753,73.32437274608218,4.294893060392314,15.431017187374195
sweep,4.916503226562145,91.08159060573949,4.511755704874179,25.50393136942982
canon,5.240000878453407,60.01113674101039,4.094530157348433,2.6702101842090116
armor,5.2827376847671825,68.56629523392132,4.227801090872405,12.251723480672695
villa,4.683221347898343,75.20417921517773,4.320206804081496,3.1740635155923087
alley,5.4059395341447445,59.67742385443988,4.088953788985943,6.240925779395738
lipid,4.805541383053265,81.48505614173672,4.400419643210187,12.891830964266944
freed,5.246088458452062,75.77659592264162,4.327789484056843,18.582747679514014
madam,4.603078407152931,106.50079194450741,4.668152421220493,32.154802652424124
sunny,4.982218204501006,76.84391201913417,4.3417762478372985,13.006328716004589
stove,5.229595788300387,51.051655986337686,3.9328379826024356,6.541339072142115
safer,5.557808926264362,46.27395330340018,3.834579239152427,3.779693393257091
frost,5.451794995299545,47.74061070367017,3.865782413113534,4.655277875114706
meter,5.561304746457847,66.68578284956442,4.19999177952055,16.70786053811912
linen,5.351060361477084,55.041681456240134,4.00809074287212,0.33797278242654016
cough,4.721238373634167,66.98290188530535,4.204437391081281,3.966377249937011
bowel,4.954201398991073,62.09975693128919,4.12874207478184,2.475517735333284
frown,4.704312795334115,65.32721365779088,4.179408697672039,6.101855977892285
boost,5.4553148897178945,69.21028072232836,4.237149416940451,16.89358389871309
cyber,4.9009844199680295,61.52707382002204,4.119477302657806,4.466486689849134
thief,5.035628820329422,57.16589982461788,4.045957563701289,5.282533899286975
glare,5.810697341944371,40.28384816178849,3.6959505985847847,4.540854423047158
batch,4.936332556167815,57.73172753724935,4.055806893053478,7.3172762243839955
crush,5.192940618257078,52.41265645719635,3.959148097604686,6.075138160868747
drill,5.267968925317994,66.77446763195042,4.201320786398918,10.106844221638823
knelt,4.971989195927902,55.125549889977556,4.009613309045648,8.980648160750938
toast,5.714978344557436,55.672577184284684,4.019487695075468,8.928093554510106
axial,4.537524862917197,94.86042326023801,4.552406582385908,18.582443003948242
fetch,4.868395561696103,62.64638456953044,4.137505971289501,4.226740666553738
spear,5.661227819558339,39.61631273951417,3.679240971303845,8.23793034769102
froze,4.739225075509282,71.83457115987004,4.27436585265117,1.3926832874353892
risky,4.727284248437518,61.16231415910498,4.113531218132882,9.616130423757014
siege,5.474429518189593,73.75635684256473,4.3007671859808525,21.86799931691705
trash,5.655827621493251,43.1155034307796,3.7638826408009125,4.851495763014782
petty,5.08184558993089,68.50877417572406,4.226961827221891,7.244209280537518
nasty,5.425615919444058,46.170831136385864,3.832348238011318,6.817112292586891
breed,5.380957240394221,73.13056548874066,4.292246411903594,19.120151761757157
hedge,4.786724640744923,97.72519649975422,4.5821594224189175,28.61095589258892
flora,5.195782254298073,48.218596124782586,3.875744758367832,10.19945120809259
swore,5.477393938208696,46.738356551550766,3.844565166993832,5.083829732213758
nasal,5.345909677097436,65.93744257785524,4.188706452812835,11.113579256493821
pupil,4.771452186704667,70.79599220998475,4.25980239189382,1.2568184483104972
vapor,4.871092243787101,58.6709871232044,4.071945347803974,8.129037149369523
laden,5.533796451452126,44.64897430090023,3.798831335074331,5.927424009919797
ample,5.103760250706657,49.72482979418775,3.906504401791749,10.984272811895174
float,5.355353651143568,47.08767557711635,3.852011301752728,7.51603972876061
flush,4.791725344604754,64.83727815380166,4.171880718099298,4.138225576886725
surge,5.526066660535541,48.27665498630437,3.8769481101982968,2.4689894942833988
fried,5.35458066820902,49.95486035637426,3.9111198047927105,4.666847457249823
paste,5.679754309933846,41.67175659783593,3.7298235995215303,5.797403392203442
token,5.067383993795775,52.6436389741975,3.9635454140767723,8.989555028191432
shiny,5.315411413532422,53.64652469346351,3.982416689596708,1.893091106024933
gland,5.194731581534065,51.96171269562487,3.950507153068733,6.482115723551999
rider,5.631011185658685,62.315033320843035,4.132202701994446,13.826906829256465
basil,5.223126197580802,48.7115848231505,3.8859168831781155,9.038570277498792
dusty,4.919734205524509,58.617076417433786,4.071026060573207,6.8742323054993975
abbey,4.532842206932638,69.71069327568259,4.24435372458847,6.706592360425219
clung,4.840132621742638,62.62534300427147,4.137170036504145,5.017380995972658
buddy,4.311047687875248,90.462850478101,4.5049392744763095,7.249052132281761
crisp,5.215093742148386,52.72972029180055,3.9651792489920026,5.216019995156628
excel,4.30154895329828,100.42499854645976,4.609411165771458,16.911454719757785
drake,5.488063514602114,49.445043303819915,3.900861816519324,2.13955291204951
caste,5.787249961503556,41.27970829620436,3.720371054680422,4.008575276608255
haste,5.622252414533995,43.377737050667115,3.769946338308845,5.295478259827412
greet,5.622589586412351,65.75896198744141,4.185995965760833,17.09288294365595
hardy,5.119658082579014,50.565231997801334,3.9232642254539876,9.743287616447248
flock,4.5490525110861055,68.66875432523402,4.229294282453986,7.267025040077428
kitty,4.630381939241065,93.28088161423071,4.5356151738250015,19.72957205077384
welsh,4.869414992138272,57.848757080138164,4.0578319681908654,8.996726948181482
stamp,5.046150290925396,53.740239828514845,3.984162065933525,8.437197822158723
seize,5.014910028097993,98.88804047477547,4.5939883058846,35.90340835765099
marsh,5.243269657344702,49.83095275584364,3.9086363322358246,7.430962450332942
squad,4.2730846647732665,78.98256430917274,4.36922712316092,5.433474668431188
cheer,5.473092887585508,73.18501619657602,4.292990703245936,21.26679995193203
ferry,5.174682619342444,75.49511071495891,4.324067895415775,16.55765703097819
sober,5.587302309374926,49.24000750189257,3.896706453669868,0.17779792448839515
berry,5.280879991531457,73.64608223395078,4.299270947114281,17.287196447147608
bliss,4.857500979237647,76.43276320994318,4.336411442074295,9.263725899816478
noisy,5.223040349396976,51.670676074726266,3.9448904266866154,6.0815666815338645
pinch,4.8455938978265145,58.65408371487302,4.071657201232614,8.83943835763143
yeast,5.599035692626051,44.54471431568274,3.7964935007651905,4.622043331260073
lance,5.706044289201656,41.31026421850969,3.7211109973821594,5.6170956326641175
sworn,5.166312097265637,51.390402777194545,3.9394514386304493,7.754080533270006
sperm,5.1012461288448305,53.38886918526563,3.9776022820155594,7.383765329178665
heath,5.249292921830844,52.62751657050479,3.96323911167636,4.4890281305616995
scary,5.508514419905995,46.17959945925186,3.8325381304208235,4.952108586585453
homer,5.295029609400621,50.7336839188262,3.92659006709354,5.288358773766518
deity,5.404188645188823,50.89364134156117,3.929737991225473,2.582919149785674
blunt,5.162818478705429,55.3617106963458,4.013888212138803,3.869344536614868
scare,5.975286167298414,36.24775399140597,3.5903774205233883,5.445018772168737
fiery,5.128852995492654,53.03789142236532,3.971006590607085,7.039851726128788
